player,avg_points,std_dev_points,std_avg_ratio,riskiness_ratio
Marcus Morris,28.345238095238095,9.9923333706635376,0.35252247086759225,0.50740963515408188
Doug McDermott,13.882352941176471,6.5890045999109059,0.47463168728171778,0.68316975846524031
Joakim Noah,20.953125,9.4212608630692305,0.44963511949025409,0.64719049362020642
Aaron Brooks,15.636363636363637,6.421023707676639,0.41064686502583153,0.59107203988192636
E'Twaun Moore,10.25,5.4306709990571145,0.52982156088362098,0.76260830761537346
Cameron Bairstow,2.875,0.5303300858899106,0.18446263857040368,0.26550965646590896
Bobby Portis,7.416666666666667,4.3898557303553076,0.59189066027262571,0.85194859561972791
Jason Thompson,5.8409090909090908,4.4444807448012522,0.76092277342900816,1.0952480444603048
Brandon Rush,9.4642857142857135,6.8660656232559525,0.72547108472138366,1.044220011017613
Leandro Barbosa,13.328947368421053,6.7525985901205647,0.50661154279285581,0.72920054560130809
Shaun Livingston,12.074999999999999,2.9324634874560922,0.2428541190439828,0.34955649674331618
Marreese Speights,10.944444444444445,5.9083412843222032,0.5398484422223333,0.77704068178229646
Festus Ezeli,21.386363636363637,6.2937645222451639,0.2942886705406878,0.42358975466592819
Andre Iguodala,22.568181818181817,6.8912391838607316,0.30535198800591362,0.4395139420370433
James Michael McAdoo,4.0,5.2883519802171515,1.3220879950542879,1.9029714206901041
Klay Thompson,28.321428571428573,6.7138582690687576,0.23705930836560554,0.34121563051465875
Taj Gibson,17.558823529411764,8.1223694836797335,0.46258050660822603,0.66582367220395022
Derrick Rose,28.016666666666666,8.0619624220929005,0.28775594605923499,0.41418675877310424
Pau Gasol,37.235294117647058,10.603091599650938,0.28475917408225271,0.40987330047996839
Tony Snell,12.617647058823529,6.5860397142476348,0.52197051348349555,0.75130775963308238
Ersan Ilyasova,18.261904761904763,8.0821857310059517,0.44257079622196865,0.63702233133724784
Justin Holiday,8.1964285714285712,5.8483878214333656,0.71352879738620589,1.0270306623649317
Kevin Love,38.725000000000001,11.130180638814068,0.28741589770985326,0.41369730399176824
LeBron James,48.815789473684212,8.7069744176017796,0.17836389642526557,0.25673132094832524
Timofey Mozgov,15.044117647058824,6.8129216005539144,0.45286282388823673,0.65183634869700446
Mo Williams,24.647058823529413,11.24133653347428,0.45609241305265574,0.65648491664667974
J.R. Smith,21.735294117647058,9.6235675022617375,0.44276223961691352,0.63729788887246697
Stephen Curry,52.93181818181818,11.803747845640521,0.22299910056169298,0.32097781448433399
Anderson Varejao,6.5294117647058822,4.7523697649018164,0.72784041444442238,1.047630348881659
Tristan Thompson,23.449999999999999,7.0377740200929138,0.30011829509991106,0.43198073088767314
Matthew Dellavedova,20.80263157894737,6.1894730004574585,0.29753317396253437,0.4282597897235052
Jared Cunningham,7.0735294117647056,7.1957912535527244,1.0172844183816743,1.4642468444879799
James Jones,6.4249999999999998,5.4820880578192295,0.85324327748159212,1.2281312424115562
Sasha Kaun,2.9500000000000002,3.5240246877682342,1.1945846399214353,1.7194471456285518
Joe Harris,1.95,1.823458252881047,0.93510679634925487,1.3459629883959758
Nikola Mirotic,23.926470588235293,11.382128503259215,0.47571280775760705,0.68472588890106334
Richard Jefferson,12.625,6.231023823958374,0.49354644150165339,0.71039505424325478
Andrew Bogut,21.0,10.038764152737413,0.47803638822559108,0.6880703767421058
Jimmy Butler,37.470588235294116,8.1518222430541822,0.21755255593708181,0.31313823133939911
Draymond Green,39.465909090909093,11.167633785735207,0.2829691255815428,0.40729676158751726
Kyle Korver,21.012499999999999,8.7751424489862302,0.41761534557935659,0.60110224920883915
Jeff Teague,32.131578947368418,9.2778740759088301,0.2887462857367204,0.41561222221432764
Al Horford,33.909090909090907,7.5354501297539338,0.22222507085065221,0.31986370073064613
Kent Bazemore,24.338235294117649,8.5959388923593725,0.35318661309996213,0.50836558036514279
Paul Millsap,41.44318181818182,8.5471144595363651,0.20623692690956955,0.29685087472846261
Joel Anthony,5.083333333333333,3.1754264805429422,0.62467406174615259,0.89913598126312433
Darrun Hilliard,6.083333333333333,1.1547005383792526,0.18981378713083605,0.27321192954944273
Mike Scott,9.9875000000000007,5.8091777432465932,0.5816448303626125,0.83720107384134101
Reggie Bullock,1.75,2.4238399287081647,1.3850513878332369,1.9935989261634488
Steve Blake,10.779411764705882,6.5412646623075066,0.60682946389755865,0.87345103453748074
Aron Baynes,10.416666666666666,6.5020829995727771,0.62419996795898669,0.89845358574098177
Stanley Johnson,16.607142857142858,8.6112467987261532,0.51852668895555332,0.74635082811334896
Kentavious Caldwell-Pope,23.178571428571427,6.3340068564174166,0.27326994141708427,0.39333606431319046
Reggie Jackson,36.857142857142854,12.105673109272832,0.32844849521282882,0.47275832009428287
Harrison Barnes,24.897058823529413,7.7661418708921053,0.31193009286512885,0.44898225700262567
Andre Drummond,47.75,11.578806069712023,0.24248808522957116,0.34902963930989478
Jodie Meeks,2.0,2.8284271247461903,1.4142135623730951,2.035574032905302
Mike Muscala,10.640625,6.2987887393794475,0.59195665098426531,0.85204358055170737
Spencer Dinwiddie,10.178571428571429,7.7307749257355143,0.75951472954594523,1.0932213508676167
