,Unnamed: 0,+/-,3PA,3PM,AST,BLK,DKPoints,DREB,FGA,FGM,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,TO,game_id,player,team,away_team_losses,away_team_wins,date,home_team,home_team_losses,home_team_score,home_team_wins,visit_team,visit_team_score,Home
1849,1849,,,,,,,,,,,,,,,,,,,400827888.0,Darrun Hilliard,Detroit Pistons,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,0
1848,1848,,,,,,,,,,,,,,,,,,,400827888.0,Reggie Bullock,Detroit Pistons,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,0
1847,1847,-5.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,11.0,1.0,1.0,2.0,2.0,0.0,1.0,400827888.0,Jodie Meeks,Detroit Pistons,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,0
1846,1846,-14.0,5.0,1.0,4.0,0.0,10.0,0.0,6.0,1.0,0.0,0.0,16.0,0.0,1.0,3.0,0.0,1.0,3.0,400827888.0,Steve Blake,Detroit Pistons,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,0
1845,1845,-13.0,3.0,1.0,3.0,0.0,16.5,1.0,10.0,3.0,0.0,0.0,24.0,3.0,1.0,7.0,4.0,0.0,1.0,400827888.0,Stanley Johnson,Detroit Pistons,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,0
866,866,,,,,,,,,,,,,,,,,,,400827890.0,Luke Babbitt,New Orleans Pelicans,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,0
1844,1844,-11.0,0.0,0.0,0.0,0.0,11.75,4.0,5.0,3.0,0.0,0.0,11.0,1.0,2.0,6.0,5.0,0.0,1.0,400827888.0,Aron Baynes,Detroit Pistons,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,0
1842,1842,26.0,4.0,2.0,5.0,0.0,36.5,7.0,10.0,4.0,5.0,5.0,32.0,1.0,0.0,15.0,8.0,2.0,2.0,400827888.0,Reggie Jackson,Detroit Pistons,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,0
1841,1841,23.0,0.0,0.0,3.0,2.0,52.75,11.0,16.0,6.0,10.0,6.0,37.0,8.0,4.0,18.0,19.0,1.0,2.0,400827888.0,Andre Drummond,Detroit Pistons,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,0
1840,1840,20.0,6.0,3.0,3.0,1.0,31.25,4.0,12.0,6.0,2.0,1.0,34.0,3.0,4.0,16.0,7.0,0.0,3.0,400827888.0,Ersan Ilyasova,Detroit Pistons,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,0
1839,1839,17.0,4.0,1.0,4.0,0.0,38.5,5.0,19.0,6.0,6.0,5.0,37.0,5.0,1.0,18.0,10.0,0.0,0.0,400827888.0,Marcus Morris,Detroit Pistons,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,0
1854,1854,-23.0,3.0,1.0,4.0,0.0,24.5,2.0,16.0,7.0,4.0,3.0,32.0,0.0,1.0,18.0,2.0,0.0,5.0,400827888.0,Jeff Teague,Atlanta Hawks,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,1
1855,1855,-9.0,5.0,1.0,1.0,0.0,13.0,2.0,9.0,3.0,0.0,0.0,29.0,0.0,4.0,7.0,2.0,1.0,1.0,400827888.0,Kyle Korver,Atlanta Hawks,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,1
