,Unnamed: 0,+/-,3PA,3PM,AST,BLK,DKPoints,DREB,FGA,FGM,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,TO,game_id,player,team,away_team_losses,away_team_wins,date,home_team,home_team_losses,home_team_score,home_team_wins,visit_team,visit_team_score,Home
1095,1095,-4.0,6.0,0.0,0.0,0.0,13.25,5.0,11.0,3.0,2.0,1.0,23.0,0.0,4.0,7.0,5.0,0.0,0.0,400827907.0,Charlie Villanueva,Dallas Mavericks,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,0
1967,1967,,,,,,,,,,,,,,,,,,,400827905.0,Solomon Hill,Indiana Pacers,1,1,2015-10-29 00:00:00,Indiana Pacers,2,103,0,Memphis Grizzlies,112,1
1089,1089,-12.0,3.0,1.0,2.0,0.0,30.25,6.0,15.0,6.0,3.0,3.0,25.0,1.0,1.0,16.0,7.0,1.0,0.0,400827907.0,Dirk Nowitzki,Dallas Mavericks,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,0
1090,1090,-16.0,1.0,0.0,0.0,0.0,6.5,3.0,1.0,0.0,2.0,2.0,24.0,1.0,1.0,2.0,4.0,0.0,1.0,400827907.0,Jeremy Evans,Dallas Mavericks,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,0
1091,1091,-6.0,0.0,0.0,1.0,0.0,15.0,3.0,8.0,2.0,0.0,0.0,18.0,5.0,3.0,4.0,8.0,0.0,1.0,400827907.0,Zaza Pachulia,Dallas Mavericks,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,0
1114,1114,12.0,4.0,2.0,2.0,0.0,21.5,2.0,11.0,6.0,1.0,1.0,17.0,0.0,0.0,15.0,2.0,0.0,0.0,400827907.0,Jamal Crawford,Los Angeles Clippers,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,1
1113,1113,4.0,4.0,2.0,1.0,0.0,21.0,2.0,10.0,5.0,4.0,2.0,24.0,0.0,1.0,14.0,2.0,1.0,0.0,400827907.0,Austin Rivers,Los Angeles Clippers,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,1
1112,1112,3.0,4.0,0.0,0.0,1.0,16.75,6.0,7.0,3.0,0.0,0.0,22.0,1.0,2.0,6.0,7.0,0.0,0.0,400827907.0,Wesley Johnson,Los Angeles Clippers,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,1
1111,1111,-8.0,3.0,0.0,1.0,0.0,2.25,1.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,400827907.0,Pablo Prigioni,Los Angeles Clippers,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,1
1110,1110,-8.0,0.0,0.0,0.0,0.0,1.5,0.0,2.0,1.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,1.0,400827907.0,Cole Aldrich,Los Angeles Clippers,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,1
1109,1109,9.0,1.0,0.0,1.0,2.0,17.5,3.0,5.0,1.0,6.0,3.0,14.0,3.0,4.0,5.0,6.0,0.0,1.0,400827907.0,Josh Smith,Los Angeles Clippers,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,1
1108,1108,17.0,3.0,0.0,2.0,0.0,18.0,4.0,6.0,1.0,4.0,4.0,20.0,0.0,2.0,6.0,4.0,2.0,0.0,400827907.0,Paul Pierce,Los Angeles Clippers,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,1
1943,1943,17.0,0.0,0.0,2.0,0.0,23.0,6.0,11.0,3.0,6.0,5.0,30.0,2.0,3.0,11.0,8.0,0.0,2.0,400827905.0,Zach Randolph,Memphis Grizzlies,1,1,2015-10-29 00:00:00,Indiana Pacers,2,103,0,Memphis Grizzlies,112,0
1944,1944,13.0,0.0,0.0,3.0,1.0,36.5,7.0,13.0,7.0,7.0,6.0,33.0,1.0,1.0,20.0,8.0,0.0,0.0,400827905.0,Marc Gasol,Memphis Grizzlies,1,1,2015-10-29 00:00:00,Indiana Pacers,2,103,0,Memphis Grizzlies,112,0
1945,1945,3.0,1.0,1.0,10.0,0.0,37.0,2.0,11.0,5.0,2.0,2.0,30.0,2.0,4.0,13.0,4.0,2.0,4.0,400827905.0,Mike Conley,Memphis Grizzlies,1,1,2015-10-29 00:00:00,Indiana Pacers,2,103,0,Memphis Grizzlies,112,0
1107,1107,-8.0,0.0,0.0,1.0,0.0,1.5,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,400827907.0,Luc Richard Mbah a Moute,Los Angeles Clippers,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,1
1106,1106,14.0,4.0,2.0,2.0,0.0,19.25,1.0,9.0,4.0,2.0,2.0,24.0,0.0,1.0,12.0,1.0,1.0,0.0,400827907.0,J.J. Redick,Los Angeles Clippers,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,1
1105,1105,15.0,4.0,1.0,5.0,0.0,22.75,3.0,8.0,3.0,2.0,2.0,24.0,0.0,1.0,9.0,3.0,1.0,0.0,400827907.0,Chris Paul,Los Angeles Clippers,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,1
1104,1104,11.0,0.0,0.0,2.0,4.0,35.25,13.0,2.0,2.0,8.0,2.0,26.0,2.0,1.0,6.0,15.0,0.0,1.0,400827907.0,DeAndre Jordan,Los Angeles Clippers,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,1
1103,1103,7.0,4.0,1.0,2.0,0.0,8.5,2.0,5.0,1.0,0.0,0.0,21.0,0.0,3.0,3.0,2.0,0.0,1.0,400827907.0,Lance Stephenson,Los Angeles Clippers,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,1
1102,1102,12.0,0.0,0.0,2.0,1.0,45.5,8.0,17.0,11.0,6.0,4.0,27.0,2.0,1.0,26.0,10.0,1.0,3.0,400827907.0,Blake Griffin,Los Angeles Clippers,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,1
1101,1101,,,,,,,,,,,,,,,,,,,400827907.0,Wesley Matthews,Dallas Mavericks,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,0
1099,1099,3.0,5.0,1.0,1.0,1.0,17.5,6.0,8.0,2.0,0.0,0.0,18.0,0.0,0.0,5.0,6.0,1.0,2.0,400827907.0,Justin Anderson,Dallas Mavericks,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,0
1098,1098,0.0,3.0,2.0,9.0,0.0,26.75,0.0,10.0,4.0,2.0,2.0,21.0,1.0,5.0,12.0,1.0,0.0,2.0,400827907.0,J.J. Barea,Dallas Mavericks,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,0
1097,1097,-2.0,6.0,2.0,2.0,0.0,23.5,5.0,10.0,4.0,3.0,2.0,23.0,1.0,3.0,12.0,6.0,0.0,0.0,400827907.0,Devin Harris,Dallas Mavericks,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,0
1096,1096,13.0,0.0,0.0,0.0,1.0,7.75,2.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,3.0,1.0,0.0,400827907.0,Salah Mejri,Dallas Mavericks,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,0
1094,1094,-14.0,0.0,0.0,0.0,0.0,18.5,6.0,8.0,4.0,2.0,1.0,19.0,2.0,3.0,9.0,8.0,0.0,1.0,400827907.0,Dwight Powell,Dallas Mavericks,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,0
1968,1968,,,,,,,,,,,,,,,,,,,400827905.0,Joe Young,Indiana Pacers,1,1,2015-10-29 00:00:00,Indiana Pacers,2,103,0,Memphis Grizzlies,112,1
1092,1092,-18.0,2.0,0.0,4.0,0.0,11.75,0.0,9.0,2.0,0.0,0.0,25.0,1.0,4.0,4.0,1.0,1.0,3.0,400827907.0,Raymond Felton,Dallas Mavericks,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,0
386,386,,,,,,,,,,,,,,,,,,,400827906.0,Kevin Seraphin,New York Knicks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,1
387,387,,,,,,,,,,,,,,,,,,,400827906.0,Arron Afflalo,New York Knicks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,1
385,385,6.0,0.0,0.0,7.0,0.0,22.75,6.0,4.0,2.0,2.0,1.0,29.0,1.0,3.0,5.0,7.0,0.0,3.0,400827906.0,Jerian Grant,New York Knicks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,1
384,384,5.0,4.0,2.0,3.0,0.0,20.5,4.0,4.0,2.0,2.0,2.0,25.0,0.0,2.0,8.0,4.0,1.0,0.0,400827906.0,Langston Galloway,New York Knicks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,1
383,383,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,400827906.0,Cleanthony Early,New York Knicks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,1
382,382,-4.0,3.0,2.0,1.0,0.0,13.25,3.0,6.0,2.0,2.0,2.0,22.0,0.0,3.0,8.0,3.0,0.0,2.0,400827906.0,Lance Thomas,New York Knicks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,1
381,381,9.0,0.0,0.0,3.0,1.0,31.0,4.0,9.0,5.0,0.0,0.0,22.0,6.0,1.0,10.0,10.0,1.0,3.0,400827906.0,Kyle O'Quinn,New York Knicks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,1
380,380,-2.0,3.0,0.0,0.0,0.0,13.0,2.0,9.0,3.0,4.0,3.0,18.0,0.0,0.0,9.0,2.0,1.0,1.0,400827906.0,Derrick Williams,New York Knicks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,1
1093,1093,-24.0,4.0,0.0,3.0,0.0,28.0,5.0,16.0,8.0,1.0,1.0,35.0,1.0,1.0,17.0,6.0,0.0,2.0,400827907.0,John Jenkins,Dallas Mavericks,1,1,2015-10-29 00:00:00,Los Angeles Clippers,0,104,2,Dallas Mavericks,88,0
378,378,-18.0,2.0,0.0,1.0,0.0,6.75,1.0,5.0,0.0,2.0,2.0,18.0,0.0,2.0,2.0,1.0,1.0,0.0,400827906.0,Jose Calderon,New York Knicks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,1
377,377,-13.0,0.0,0.0,1.0,1.0,24.0,2.0,11.0,8.0,2.0,2.0,21.0,2.0,0.0,18.0,4.0,0.0,5.0,400827906.0,Robin Lopez,New York Knicks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,1
376,376,-18.0,7.0,0.0,3.0,0.0,43.75,4.0,27.0,10.0,5.0,5.0,32.0,3.0,4.0,25.0,7.0,3.0,1.0,400827906.0,Carmelo Anthony,New York Knicks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,1
375,375,-5.0,4.0,0.0,0.0,1.0,26.0,6.0,10.0,4.0,2.0,2.0,26.0,2.0,5.0,10.0,8.0,3.0,4.0,400827906.0,Kristaps Porzingis,New York Knicks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,1
379,379,-18.0,6.0,2.0,2.0,1.0,13.5,0.0,8.0,2.0,0.0,0.0,25.0,2.0,3.0,6.0,2.0,0.0,2.0,400827906.0,Sasha Vujacic,New York Knicks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,1
373,373,,,,,,,,,,,,,,,,,,,400827906.0,Shelvin Mack,Atlanta Hawks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,0
362,362,14.0,2.0,1.0,5.0,0.0,42.75,8.0,11.0,3.0,8.0,4.0,35.0,3.0,2.0,11.0,11.0,5.0,3.0,400827906.0,Paul Millsap,Atlanta Hawks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,0
374,374,,,,,,,,,,,,,,,,,,,400827906.0,Tim Hardaway Jr.,Atlanta Hawks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,0
363,363,5.0,5.0,2.0,1.0,3.0,43.25,7.0,18.0,9.0,2.0,1.0,31.0,2.0,0.0,21.0,9.0,2.0,3.0,400827906.0,Al Horford,Atlanta Hawks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,0
364,364,18.0,2.0,0.0,8.0,0.0,40.5,4.0,12.0,7.0,10.0,9.0,30.0,0.0,1.0,23.0,4.0,1.0,3.0,400827906.0,Jeff Teague,Atlanta Hawks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,0
366,366,17.0,2.0,1.0,5.0,0.0,17.75,1.0,6.0,2.0,0.0,0.0,25.0,0.0,2.0,5.0,1.0,2.0,1.0,400827906.0,Kent Bazemore,Atlanta Hawks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,0
365,365,22.0,5.0,3.0,2.0,0.0,29.75,7.0,8.0,6.0,0.0,0.0,32.0,0.0,2.0,15.0,7.0,1.0,1.0,400827906.0,Kyle Korver,Atlanta Hawks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,0
368,368,8.0,0.0,0.0,2.0,1.0,16.5,2.0,6.0,4.0,2.0,2.0,23.0,0.0,4.0,10.0,2.0,0.0,2.0,400827906.0,Tiago Splitter,Atlanta Hawks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,0
369,369,-3.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,400827906.0,Walter Tavares,Atlanta Hawks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,0
370,370,-7.0,3.0,1.0,2.0,0.0,17.25,1.0,11.0,6.0,0.0,0.0,18.0,0.0,0.0,13.0,1.0,0.0,1.0,400827906.0,Dennis Schroder,Atlanta Hawks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,0
371,371,-9.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,13.0,0.0,1.0,2.0,0.0,0.0,0.0,400827906.0,Justin Holiday,Atlanta Hawks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,0
372,372,-7.0,3.0,2.0,0.0,0.0,12.0,1.0,5.0,3.0,2.0,1.0,21.0,1.0,4.0,9.0,2.0,0.0,1.0,400827906.0,Lamar Patterson,Atlanta Hawks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,0
367,367,-3.0,1.0,0.0,1.0,0.0,4.75,1.0,4.0,1.0,0.0,0.0,11.0,0.0,2.0,2.0,1.0,0.0,0.0,400827906.0,Mike Scott,Atlanta Hawks,1,1,2015-10-29 00:00:00,New York Knicks,1,101,1,Atlanta Hawks,112,0
892,892,14.0,1.0,1.0,2.0,0.0,16.5,2.0,6.0,2.0,0.0,0.0,19.0,0.0,3.0,5.0,2.0,3.0,1.0,400827917.0,Leandro Barbosa,Golden State Warriors,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,0
890,890,11.0,0.0,0.0,0.0,0.0,5.25,1.0,3.0,0.0,5.0,4.0,20.0,0.0,0.0,4.0,1.0,0.0,0.0,400827917.0,Shaun Livingston,Golden State Warriors,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,0
891,891,-5.0,1.0,0.0,2.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,400827917.0,Ian Clark,Golden State Warriors,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,0
893,893,23.0,5.0,2.0,4.0,0.0,30.5,3.0,9.0,5.0,0.0,0.0,30.0,3.0,0.0,12.0,6.0,2.0,0.0,400827917.0,Andre Iguodala,Golden State Warriors,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,0
898,898,-11.0,3.0,1.0,5.0,1.0,25.0,4.0,8.0,2.0,9.0,6.0,36.0,0.0,2.0,11.0,4.0,0.0,2.0,400827917.0,Ty Lawson,Houston Rockets,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,1
895,895,-6.0,1.0,0.0,1.0,1.0,12.5,3.0,7.0,2.0,0.0,0.0,18.0,1.0,0.0,4.0,4.0,0.0,0.0,400827917.0,Terrence Jones,Houston Rockets,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,1
896,896,-16.0,4.0,2.0,1.0,0.0,19.25,4.0,9.0,3.0,3.0,3.0,30.0,1.0,1.0,11.0,5.0,0.0,1.0,400827917.0,Trevor Ariza,Houston Rockets,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,1
897,897,-16.0,0.0,0.0,2.0,1.0,22.75,3.0,11.0,4.0,2.0,1.0,22.0,4.0,5.0,9.0,7.0,1.0,4.0,400827917.0,Dwight Howard,Houston Rockets,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,1
894,894,-2.0,1.0,0.0,0.0,0.0,4.5,1.0,4.0,1.0,0.0,0.0,6.0,1.0,0.0,2.0,2.0,0.0,0.0,400827917.0,Brandon Rush,Golden State Warriors,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,0
889,889,10.0,1.0,0.0,1.0,1.0,22.5,2.0,11.0,6.0,2.0,2.0,13.0,2.0,3.0,14.0,4.0,0.0,0.0,400827917.0,Marreese Speights,Golden State Warriors,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,0
2068,2068,-10.0,1.0,0.0,5.0,0.0,9.0,2.0,3.0,0.0,0.0,0.0,17.0,0.0,4.0,0.0,2.0,0.0,2.0,400827914.0,Greivis Vasquez,Milwaukee Bucks,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,1
887,887,-3.0,0.0,0.0,0.0,0.0,7.75,2.0,3.0,2.0,0.0,0.0,6.0,1.0,1.0,4.0,3.0,0.0,0.0,400827917.0,Jason Thompson,Golden State Warriors,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,0
886,886,7.0,5.0,1.0,0.0,0.0,15.0,2.0,10.0,4.0,2.0,2.0,24.0,0.0,3.0,11.0,2.0,1.0,2.0,400827917.0,Klay Thompson,Golden State Warriors,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,0
885,885,12.0,9.0,4.0,6.0,0.0,46.25,7.0,15.0,9.0,4.0,3.0,27.0,0.0,4.0,25.0,7.0,1.0,1.0,400827917.0,Stephen Curry,Golden State Warriors,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,0
884,884,15.0,0.0,0.0,1.0,2.0,22.25,4.0,9.0,4.0,4.0,1.0,25.0,3.0,2.0,9.0,7.0,0.0,2.0,400827917.0,Festus Ezeli,Golden State Warriors,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,0
883,883,15.0,2.0,1.0,7.0,1.0,34.25,6.0,8.0,3.0,4.0,2.0,31.0,1.0,2.0,9.0,7.0,2.0,1.0,400827917.0,Draymond Green,Golden State Warriors,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,0
882,882,11.0,1.0,0.0,2.0,0.0,21.25,5.0,10.0,5.0,2.0,2.0,26.0,0.0,2.0,12.0,5.0,0.0,0.0,400827917.0,Harrison Barnes,Golden State Warriors,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,0
200,200,-1.0,3.0,1.0,0.0,0.0,4.75,1.0,4.0,1.0,0.0,0.0,11.0,0.0,0.0,3.0,1.0,0.0,0.0,400827915.0,Rasual Butler,San Antonio Spurs,2,0,2015-10-30 00:00:00,San Antonio Spurs,1,102,1,Brooklyn Nets,75,1
201,201,4.0,0.0,0.0,1.0,0.0,12.75,2.0,5.0,2.0,2.0,2.0,5.0,3.0,0.0,6.0,5.0,0.0,2.0,400827915.0,Boban Marjanovic,San Antonio Spurs,2,0,2015-10-30 00:00:00,San Antonio Spurs,1,102,1,Brooklyn Nets,75,1
202,202,1.0,1.0,1.0,3.0,0.0,16.75,3.0,5.0,3.0,0.0,0.0,19.0,0.0,2.0,7.0,3.0,1.0,2.0,400827915.0,Boris Diaw,San Antonio Spurs,2,0,2015-10-30 00:00:00,San Antonio Spurs,1,102,1,Brooklyn Nets,75,1
203,203,5.0,0.0,0.0,0.0,0.0,5.5,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,2.0,1.0,400827915.0,Ray McCallum,San Antonio Spurs,2,0,2015-10-30 00:00:00,San Antonio Spurs,1,102,1,Brooklyn Nets,75,1
899,899,-22.0,10.0,1.0,5.0,1.0,34.75,5.0,18.0,4.0,8.0,7.0,37.0,2.0,2.0,16.0,7.0,1.0,4.0,400827917.0,James Harden,Houston Rockets,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,1
888,888,-8.0,0.0,0.0,1.0,0.0,5.25,1.0,2.0,1.0,2.0,1.0,7.0,0.0,3.0,3.0,1.0,0.0,1.0,400827917.0,James Michael McAdoo,Golden State Warriors,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,0
900,900,-11.0,0.0,0.0,0.0,1.0,22.75,2.0,9.0,7.0,5.0,3.0,21.0,1.0,1.0,17.0,3.0,0.0,0.0,400827917.0,Montrezl Harrell,Houston Rockets,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,1
901,901,3.0,0.0,0.0,0.0,0.0,3.25,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,400827917.0,Sam Dekker,Houston Rockets,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,1
902,902,-1.0,0.0,0.0,1.0,2.0,21.5,7.0,4.0,3.0,1.0,1.0,18.0,1.0,2.0,7.0,8.0,0.0,2.0,400827917.0,Clint Capela,Houston Rockets,0,2,2015-10-30 00:00:00,Houston Rockets,2,92,0,Golden State Warriors,112,1
2047,2047,-15.0,2.0,1.0,0.0,0.0,8.75,1.0,4.0,1.0,2.0,2.0,14.0,2.0,0.0,5.0,3.0,0.0,1.0,400827914.0,Kris Humphries,Washington Wizards,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,0
2048,2048,-17.0,3.0,1.0,3.0,1.0,18.5,4.0,5.0,2.0,2.0,1.0,31.0,0.0,3.0,6.0,4.0,1.0,3.0,400827914.0,Otto Porter Jr.,Washington Wizards,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,0
2049,2049,-12.0,0.0,0.0,1.0,1.0,22.25,6.0,6.0,3.0,4.0,3.0,26.0,3.0,2.0,9.0,9.0,0.0,3.0,400827914.0,Marcin Gortat,Washington Wizards,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,0
2050,2050,3.0,4.0,1.0,10.0,1.0,40.75,1.0,10.0,4.0,10.0,10.0,34.0,0.0,1.0,19.0,1.0,2.0,5.0,400827914.0,John Wall,Washington Wizards,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,0
2051,2051,9.0,6.0,5.0,3.0,0.0,34.25,2.0,16.0,9.0,4.0,3.0,30.0,1.0,5.0,26.0,3.0,0.0,5.0,400827914.0,Bradley Beal,Washington Wizards,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,0
2052,2052,5.0,0.0,0.0,0.0,1.0,7.25,1.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,2.0,1.0,1.0,0.0,400827914.0,Drew Gooden,Washington Wizards,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,0
2053,2053,17.0,0.0,0.0,4.0,0.0,24.5,7.0,3.0,3.0,6.0,3.0,22.0,1.0,2.0,9.0,8.0,0.0,1.0,400827914.0,Nene Hilario,Washington Wizards,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,0
2054,2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,400827914.0,Kelly Oubre Jr.,Washington Wizards,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,0
2055,2055,8.0,2.0,1.0,2.0,0.0,19.0,1.0,9.0,3.0,6.0,6.0,22.0,1.0,1.0,13.0,2.0,0.0,0.0,400827914.0,Gary Neal,Washington Wizards,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,0
2056,2056,16.0,3.0,2.0,0.0,0.0,27.0,0.0,12.0,8.0,6.0,5.0,26.0,0.0,2.0,23.0,0.0,2.0,2.0,400827914.0,Ramon Sessions,Washington Wizards,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,0
2057,2057,15.0,1.0,1.0,2.0,1.0,20.5,6.0,3.0,2.0,2.0,1.0,25.0,0.0,3.0,6.0,6.0,1.0,1.0,400827914.0,Jared Dudley,Washington Wizards,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,0
2058,2058,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400827914.0,Garrett Temple,Washington Wizards,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,0
2059,2059,,,,,,,,,,,,,,,,,,,400827914.0,DeJuan Blair,Washington Wizards,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,0
2060,2060,-10.0,3.0,1.0,2.0,0.0,44.75,6.0,15.0,9.0,10.0,8.0,34.0,3.0,6.0,27.0,9.0,3.0,6.0,400827914.0,Giannis Antetokounmpo,Milwaukee Bucks,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,1
2061,2061,1.0,4.0,1.0,5.0,0.0,31.25,3.0,14.0,6.0,6.0,5.0,39.0,0.0,4.0,18.0,3.0,1.0,1.0,400827914.0,Khris Middleton,Milwaukee Bucks,0,2,2015-10-30 00:00:00,Milwaukee Bucks,2,113,0,Washington Wizards,118,1
