"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Cory Jefferson",4000,"Pho@SA 08:30PM ET",8.855,"Pho"
"PF","Kyle Casey",4000,"Pho@SA 08:30PM ET",0,"Pho"
"SG","Andre Roberson",4000,"OKC@Uta 09:00PM ET",12.011,"OKC"
"C","Tibor Pleiss",4000,"OKC@Uta 09:00PM ET",0,"Uta"
"SG","Tony Snell",4000,"Ind@Chi 08:00PM ET",11.196,"Chi"
"PF","Cameron Bairstow",4000,"Ind@Chi 08:00PM ET",1.444,"Chi"
"PF","C.J. Fair",4000,"Ind@Chi 08:00PM ET",0,"Ind"
"SG","Jarell Eddie",4000,"GS@LAC 10:30PM ET",0,"GS"
"SF","Josh Huestis",4000,"OKC@Uta 09:00PM ET",0,"OKC"
"SF","Deshaun Thomas",4000,"Pho@SA 08:30PM ET",0,"SA"
"PG","Pablo Prigioni",4000,"GS@LAC 10:30PM ET",11.929,"LAC"
"PG","Juwan Staten",4000,"GS@LAC 10:30PM ET",0,"GS"
"SG","Joe Ingles",4000,"OKC@Uta 09:00PM ET",13.149,"Uta"
"C","Boban Marjanovic",4000,"Pho@SA 08:30PM ET",0,"SA"
"SF","Jonathon Simmons",4000,"Pho@SA 08:30PM ET",0,"SA"
"PF","Adreian Payne",4000,"Min@Mil 08:00PM ET",15.609,"Min"
"SG","Joe Young",4000,"Ind@Chi 08:00PM ET",0,"Ind"
"SF","Doug McDermott",4000,"Ind@Chi 08:00PM ET",4.840,"Chi"
"PG","Ray McCallum",4000,"Pho@SA 08:30PM ET",16.125,"SA"
"PG","Bryce Cotton",4000,"OKC@Uta 09:00PM ET",8.700,"Uta"
"SG","Austin Rivers",4000,"GS@LAC 10:30PM ET",14.033,"LAC"
"SF","Dez Wells",4000,"OKC@Uta 09:00PM ET",0,"OKC"
"PF","Johnny O'Bryant",4000,"Min@Mil 08:00PM ET",6.307,"Mil"
