Player Name,Predicted Points,Actual Points,Difference,Pct Error
Jamal Crawford,28.908200950414709,23.734375,-5.1738259504147095,0.21798871680483306
Jordan Farmar,10.655332072771035,11.75,1.094667927228965,0.093163227849273611
Spencer Hawes,17.106856286571439,8.1710526315789469,-8.9358036549924922,1.0935927178412712
J.J. Redick,23.164030578093293,29.287500000000001,6.1234694219067087,0.20908132895968273
Chris Paul,38.740911384320604,47.63095238095238,8.8900409966317753,0.18664419987929745
Matt Barnes,21.330115240191631,22.657894736842106,1.327779496650475,0.058601185682599359
Blake Griffin,40.340330785595441,41.75,1.4096692144045591,0.033764532081546325
Kyrie Irving,37.407395315105333,36.460526315789473,-0.94686899931586055,0.025969701893903067
Kevin Love,38.457345702259019,31.592105263157894,-6.8652404391011252,0.21730873526517516
LeBron James,47.570673664855825,47.972222222222221,0.40154855736639661,0.0083704389491547643
Channing Frye,19.041278019445144,14.197368421052632,-4.8439095983925125,0.34118362324173396
Anderson Varejao,21.762700999888107,19.142857142857142,-2.6198438570309648,0.13685751491952802
Kawhi Leonard,36.347515623928743,37.703125,1.3556093760712571,0.035954828043332138
Nick Johnson,7.7119638613158878,5.3928571428571432,-2.3191067184587446,0.43003303388638969
Jimmy Butler,42.116450617263808,33.720588235294116,-8.3958623819696925,0.24898327168510209
Meyers Leonard,12.002301495975553,16.928571428571427,4.9262699325958739,0.29100328715756218
Brook Lopez,29.373641246013264,41.638888888888886,12.265247642875622,0.29456231830788687
Noah Vonleh,6.8268567877207094,16.678571428571427,9.8517146408507177,0.59068096347713084
David Lee,20.01942354883435,14.76923076923077,-5.2501927796035801,0.35548180278565905
Tiago Splitter,17.605371262247871,23.21153846153846,5.6061671992905886,0.24152501604234516
Erick Green,5.975315572350004,9.8863636363636367,3.9110480640136327,0.39560026394620651
A.J. Price,12.355433342282012,6.5357142857142856,-5.8197190565677266,0.8904488173983407
Ish Smith,9.8637314912355691,29.035714285714285,19.171982794478716,0.6602896903387504
Glen Davis,9.9138468208690682,10.315789473684211,0.40194265281514241,0.038963828589222989
Nick Calathes,12.246027530280918,12.699999999999999,0.45397246971908167,0.035745863757408007
Dwight Powell,7.5034950548904122,6.40625,-1.0972450548904122,0.17127727686094241
T.J. Warren,8.6093249521215931,17.675000000000001,9.0656750478784076,0.51290947937077269
Lou Amundson,15.482337346430059,16.267857142857142,0.78551979642708325,0.048286617563025977
John Jenkins,7.9398767683114908,14.333333333333334,6.3934565650218431,0.44605510918757041
Adreian Payne,17.981720158586274,13.53125,-4.450470158586274,0.32890310640822351
Victor Oladipo,33.120172174221644,35.25,2.1298278257783565,0.06042064753981153
Gary Harris,10.802897353013295,7.1428571428571432,-3.6600402101561516,0.51240562942186119
George Hill,29.657136412938371,36.659090909090907,7.0019544961525355,0.19100185854352858
Markel Brown,11.113708429312796,14.479166666666666,3.3654582373538702,0.23243452574530327
Robert Covington,28.882489398524335,26.527777777777779,-2.3547116207465564,0.088763998268980127
Jerami Grant,17.769352338834356,17.441176470588236,-0.32817586824612022,0.018816154334516166
Cartier Martin,5.4912748061880645,5.416666666666667,-0.074608139521397554,0.013773810373181086
Raymond Felton,6.0009990297903597,15.09375,9.0927509702096394,0.60241828374059725
Nick Young,26.278392230115966,16.022727272727273,-10.255664957388692,0.64006986968099633
Bradley Beal,28.803225250267118,29.140625,0.33739974973288156,0.011578329213353576
Hassan Whiteside,27.163308303789297,35.645833333333336,8.4825250295440391,0.23796680386798005
Jeff Taylor,9.1832688270351213,12.875,3.6917311729648787,0.28673640178367993
Jose Calderon,20.766941515916336,21.272727272727273,0.50578575681093696,0.023776253525300453
Kevin Durant,41.361664315289971,44.535714285714285,3.1740499704243135,0.071269766777771276
Dante Cunningham,14.825960136223362,13.220588235294118,-1.605371900929244,0.12142968772323535
Jodie Meeks,21.727595972029366,16.033333333333335,-5.6942626386960313,0.35515151592698735
Mitch McGary,16.229566228653169,11.84375,-4.3858162286531694,0.37030638342190347
Furkan Aldemir,9.2942129368175728,13.863636363636363,4.5694234268187905,0.32959775537709307
Patty Mills,15.076543514230458,10.615384615384615,-4.4611588988458433,0.42025409916663742
Martell Webster,8.3578336811727922,8.75,0.39216631882720776,0.044819007865966598
Andrea Bargnani,25.440555464553064,25.9375,0.49694453544693573,0.019159307390725234
Elijah Millsap,16.822254414979056,15.875,-0.94725441497905649,0.059669569447499619
Langston Galloway,25.168574555109153,28.458333333333332,3.2897587782241793,0.11559913715575447
Tyler Johnson,14.680438095468215,15.15625,0.47581190453178479,0.031393775144365185
JaMychal Green,4.852560216889561,9.5,4.647439783110439,0.48920418769583568
Lorenzo Brown,12.771448799581425,15.5,2.7285512004185755,0.17603556131732745
John Lucas III,10.450797101938997,8.9166666666666661,-1.5341304352723313,0.172052011432411
Joffrey Lauvergne,12.56556478621957,9.25,-3.3155647862195696,0.35843943634806158
Henry Walker,21.241921543057291,11.666666666666666,-9.5752548763906251,0.82073613226205366
Michael Beasley,17.727852096002344,19.416666666666668,1.6888145706643236,0.086977574454814952
