Player,Our Prediction,DraftKings Prediction,Position,Salary
Thomas Robinson,11.273819629951431,10.75,PF,3200
Andre Roberson,15.597089699516633,12.710999999999999,SG,3200
Markel Brown,0,6.875,SG,3200
Dewayne Dedmon,6.7457430710643536,13.679,C,3200
Maurice Harkless,16.255208069797128,14.225999999999999,SF,3200
Raul Neto,15.275398830326424,11.958,PG,3200
Myles Turner,10.69953567516121,12.030999999999999,C,3200
Mike Miller,0,5.875,SG,3100
James Jones,0,6.4249999999999998,SG,3100
Chris Kaman,0,8.1669999999999998,C,3100
C.J. Watson,15.388918002739487,13.875,PG,3100
Anderson Varejao,0,6.5289999999999999,C,3100
Anthony Morrow,0,9.1449999999999996,SG,3100
D.J. Augustin,8.1785398597223811,11.050000000000001,PG,3100
Wayne Ellington,0,8.25,SG,3100
Jeff Withey,0,7.3250000000000002,C,3100
Seth Curry,0,7.125,PG,3100
Willie Reed,11.98207768081579,12.125,SF,3100
Jared Cunningham,0,7.0739999999999998,SG,3100
Shabazz Napier,0,9.5259999999999998,PG,3100
Joe Ingles,0,7.75,SG,3100
James Ennis,0,2.625,SG,3100
Trey Lyles,0,5.5,PF,3100
Vince Carter,0,9.3000000000000007,SG,3000
Nick Collison,0,9.4379999999999988,C,3000
Caron Butler,0,5.4689999999999994,SF,3000
Steve Novak,0,4.75,SF,3000
Sasha Kaun,0,2.9500000000000002,C,3000
Jason Thompson,0,5.8410000000000002,PF,3000
Andrea Bargnani,0,8.5440000000000005,C,3000
Donald Sloan,0,3.125,PG,3000
Elijah Millsap,0,4.556,SG,3000
Kyle Singler,0,5.734,SF,3000
James Anderson,0,4.827,SG,3000
Chris Johnson,0,3.0710000000000002,SF,3000
Quincy Acy,0,6.1820000000000004,PF,3000
Ian Clark,0,6.8470000000000004,SG,3000
Shayne Whittington,0,-1.0,C,3000
Solomon Hill,0,4.4639999999999995,SF,3000
Tim Frazier,0,2.25,PG,3000
Joe Harris,0,1.95,SG,3000
Tibor Pleiss,0,1.6880000000000002,C,3000
Duje Dukan,0,0.0,SF,3000
Josh Huestis,0,0.0,SF,3000
Russ Smith,0,2.8500000000000001,PG,3000
Eric Moreland,0,3.8999999999999999,PF,3000
Devyn Marble,0,0.94999999999999996,SF,3000
Joe Young,0,3.036,SG,3000
Pat Connaughton,0,1.042,SF,3000
K.J. McDaniels,0,3.6430000000000002,SF,3000
James Michael McAdoo,0,4.0,PF,3000
Rakeem Christmas,0,0.0,PF,3000
Kostas Papanikolaou,0,3.7680000000000002,SF,3000
Sergey Karasev,0,2.028,SF,3000
Sam Dekker,0,1.083,SF,3000
Jordan Adams,0,9.5,SG,3000
Montrezl Harrell,0,7.3829999999999991,PF,3000
Glenn Robinson III,0,8.9169999999999998,SF,3000
Mitch McGary,0,3.7919999999999998,PF,3000
Jarell Martin,0,0.0,PF,3000
Noah Vonleh,0,7.7139999999999995,PF,3000
Cameron Payne,0,3.222,PG,3000
Dante Exum,0,0.0,PG,3000
Mario Hezonja,0,6.5139999999999993,SG,3000
Cliff Alexander,0,3.8330000000000002,PF,3000
Kevon Looney,0,0.0,PF,3000
Chris McCullough,0,0.0,PF,3000
Luis Montero,0,2.125,SF,3000
